task,metric,count,mean,std,min,max
asr,cer,80,0.15086646379681765,0.11374324031723816,0.0,0.6111111111111112
asr,wer,80,0.3793429622002823,0.1790141237672422,0.0,0.875
rag,answer_relevancy,150,0.3644836786919344,0.23050320453415785,0.0,1.0
rag,context_entity_recall,86,0.7093023255813954,0.4036142004577256,0.0,1.0
rag,context_precision,130,0.5,0.2401922307076307,0.0,1.0
rag,context_recall,130,0.6724358974358975,0.35039484162321854,0.0,1.0
rag,faithfulness,150,0.671027439530252,0.21092143415625175,0.08333333333333333,1.0
tts,duration_abs_error_sec,80,1.4824218750000002,1.2796679374458648,0.034687500000000426,7.540625000000002
tts,duration_rel_error,80,0.10829320437256831,0.07317908155550584,0.002862004950495085,0.2917069632495165
tts,mcd_db,80,89.2798677916304,6.597752299404013,69.60685137331174,109.32526766384781
tts,spectral_convergence,80,2.056606703042677,0.6477499381870109,1.1922308874261778,4.574742786270048
